Longitude,Latitude
9.061612,48.962044
9.061486,48.962043
9.061395,48.962043
9.061331,48.962046
9.061293,48.962039
9.061277,48.962021
9.061261,48.961983
9.061234,48.961926
9.061213,48.961877
9.061186,48.961803
9.061148,48.961733
9.061111,48.961666
9.061084,48.961599
9.061057,48.961525
9.061020,48.961461
9.060982,48.961395
9.060928,48.961324
9.060837,48.961261
9.060762,48.961236
9.060719,48.961218
9.060703,48.961197
9.060708,48.961159
9.060724,48.961134
9.060762,48.961099
9.060794,48.961053
9.060826,48.961007
9.060880,48.960958
9.060961,48.960880
9.061025,48.960813
9.061073,48.960757
9.061148,48.960687
9.061213,48.960623
9.061309,48.960549
9.061411,48.960496
9.061513,48.960440
9.061626,48.960384
9.061738,48.960324
9.061851,48.960267
9.061974,48.960211
9.062082,48.960151
9.062189,48.960098
9.062296,48.960039
9.062409,48.959989
9.062522,48.959926
9.062618,48.959880
9.062763,48.959810
9.062886,48.959760
9.062988,48.959707
9.063155,48.959644
9.063224,48.959619
9.063310,48.959605
9.063423,48.959591
9.063562,48.959581
9.063670,48.959577
9.063830,48.959567
9.063981,48.959560
9.064099,48.959556
9.064217,48.959549
9.064335,48.959535
9.064458,48.959511
9.064587,48.959482
9.064721,48.959458
9.064844,48.959440
9.064973,48.959419
9.065091,48.959405
9.065225,48.959384
9.065322,48.959377
9.065434,48.959366
9.065563,48.959348
9.065713,48.959334
9.065831,48.959317
9.065955,48.959306
9.066084,48.959292
9.066180,48.959282
9.066266,48.959271
9.066411,48.959260
9.066545,48.959253
9.066679,48.959253
9.066818,48.959267
9.066942,48.959289
9.067049,48.959324
9.067146,48.959377
9.067237,48.959419
9.067350,48.959461
9.067451,48.959489
9.067553,48.959521
9.067704,48.959535
9.067848,48.959542
9.068004,48.959553
9.068149,48.959553
9.068278,48.959553
9.068396,48.959553
9.068519,48.959553
9.068605,48.959546
9.068728,48.959535
9.068830,48.959518
9.068964,48.959496
9.069050,48.959465
9.069125,48.959444
9.069211,48.959419
9.069291,48.959366
9.069367,48.959322
9.069442,48.959283
9.069528,48.959245
9.069613,48.959209
9.069683,48.959164
9.069764,48.959121
9.069844,48.959083
9.069924,48.959037
9.070016,48.958991
9.070107,48.958942
9.070209,48.958889
9.070305,48.958829
9.070439,48.958766
9.070563,48.958702
9.070649,48.958649
9.070756,48.958593
9.070858,48.958540
9.070949,48.958491
9.071056,48.958438
9.071158,48.958396
9.071266,48.958357
9.071410,48.958304
9.071545,48.958255
9.071663,48.958230
9.071813,48.958192
9.071936,48.958160
9.072000,48.958146
9.072086,48.958135
9.072151,48.958118
9.072237,48.958107
9.072365,48.958068
9.072462,48.958051
9.072574,48.958033
9.072719,48.958001
9.072827,48.957977
9.072934,48.957956
9.073057,48.957927
9.073191,48.957903
9.073336,48.957878
9.073470,48.957850
9.073588,48.957822
9.073712,48.957797
