Longitude,Latitude
9.069211,48.959419
9.069291,48.959366
9.069367,48.959322
9.069442,48.959283
9.069528,48.959245
9.069613,48.959209
9.069683,48.959164
9.069764,48.959121
9.069844,48.959083
9.069924,48.959037
9.070016,48.958991
9.070107,48.958942
9.070209,48.958889
9.070305,48.958829
9.070439,48.958766
9.070563,48.958702
9.070649,48.958649
9.070756,48.958593
9.070858,48.958540
9.070949,48.958491
9.071056,48.958438
9.071158,48.958396
9.071266,48.958357
9.071410,48.958304
9.071545,48.958255
9.071663,48.958230
9.071813,48.958192
9.071936,48.958160
9.072000,48.958146
9.072086,48.958135
9.072151,48.958118
9.072237,48.958107
9.072365,48.958068
9.072462,48.958051
9.072574,48.958033
9.072719,48.958001
9.072827,48.957977
9.072934,48.957956
9.073057,48.957927
9.073191,48.957903
9.073336,48.957878
9.073470,48.957850
9.073588,48.957822
9.073712,48.957797
9.073824,48.957776
9.073964,48.957751
9.074109,48.957716
9.074254,48.957688
9.074409,48.957656
9.074506,48.957639
9.074608,48.957621
9.074704,48.957600
9.074838,48.957575
9.074956,48.957550
9.075031,48.957536
9.075139,48.957512
9.075262,48.957491
9.075348,48.957473
9.075461,48.957452
9.075557,48.957434
9.075605,48.957424
9.075627,48.957399
9.075638,48.957378
9.075664,48.957343
9.075718,48.957322
9.075788,48.957311
9.075841,48.957311
9.075868,48.957329
9.075884,48.957346
9.075890,48.957371
9.075895,48.957399
9.075868,48.957438
9.075831,48.957459
9.075788,48.957477
9.075782,48.957505
9.075804,48.957536
9.075823,48.957597
9.075839,48.957646
9.075849,48.957692
9.075866,48.957745
9.075887,48.957812
9.075914,48.957865
9.075946,48.957935
9.075967,48.958006
9.075989,48.958055
9.076016,48.958136
9.076043,48.958196
9.076059,48.958242
9.076080,48.958291
9.076096,48.958337
9.076118,48.958393
9.076128,48.958439
9.076150,48.958487
9.076166,48.958519
9.076204,48.958526
9.076257,48.958536
9.076300,48.958554
9.076316,48.958579
9.076316,48.958607
9.076322,48.958638
9.076300,48.958663
9.076268,48.958674
9.076241,48.958684
9.076225,48.958705
