Longitude,Latitude
9.067448,48.959481
9.067555,48.959505
9.067662,48.959523
9.067769,48.959526
9.067871,48.959530
9.067952,48.959530
9.068032,48.959533
9.068123,48.959533
9.068209,48.959533
9.068311,48.959540
9.068408,48.959540
9.068483,48.959540
9.068579,48.959540
9.068660,48.959533
9.068773,48.959526
9.068853,48.959516
9.068934,48.959491
9.069030,48.959474
9.069132,48.959442
9.069218,48.959403
9.069298,48.959364
9.069357,48.959329
9.069416,48.959294
9.069497,48.959262
9.069556,48.959223
9.069631,48.959188
9.069679,48.959160
9.069749,48.959118
9.069829,48.959079
9.069899,48.959044
9.069980,48.959005
9.070049,48.958970
9.070108,48.958935
9.070167,48.958906
9.070237,48.958861
9.070323,48.958825
9.070403,48.958773
9.070473,48.958741
9.070564,48.958699
9.070634,48.958656
9.070682,48.958621
9.070741,48.958593
9.070806,48.958561
9.070870,48.958530
9.070929,48.958501
9.071004,48.958463
9.071085,48.958424
9.071176,48.958399
9.071272,48.958350
9.071369,48.958315
9.071482,48.958276
9.071589,48.958244
9.071664,48.958223
9.071777,48.958198
9.071873,48.958174
9.071981,48.958149
9.072093,48.958132
9.072206,48.958100
9.072324,48.958075
9.072431,48.958054
9.072544,48.958029
9.072651,48.958008
9.072758,48.957984
9.072850,48.957966
9.072951,48.957941
9.073053,48.957917
9.073161,48.957899
9.073263,48.957881
9.073348,48.957864
9.073456,48.957846
9.073568,48.957815
9.073713,48.957786
9.073826,48.957769
9.073960,48.957741
9.074067,48.957719
9.074180,48.957698
9.074287,48.957674
9.074405,48.957652
9.074529,48.957624
9.074614,48.957607
9.074722,48.957582
9.074818,48.957575
9.074915,48.957550
9.075011,48.957536
9.075135,48.957512
9.075242,48.957487
9.075365,48.957462
9.075435,48.957448
9.075537,48.957431
9.075591,48.957417
9.075634,48.957413
9.075644,48.957392
9.075644,48.957367
9.075661,48.957343
9.075703,48.957328
9.075768,48.957314
9.075821,48.957314
9.075864,48.957321
9.075913,48.957350
9.075913,48.957364
9.075913,48.957364
9.075907,48.957381
9.075891,48.957402
9.075880,48.957434
9.075859,48.957455
9.075816,48.957473
9.075800,48.957498
9.075800,48.957533
9.075811,48.957575
9.075832,48.957649
9.075864,48.957723
9.075886,48.957786
9.075907,48.957843
9.075934,48.957917
9.075956,48.957984
9.075982,48.958061
9.076009,48.958124
9.076036,48.958198
9.076063,48.958283
9.076100,48.958360
9.076116,48.958417
9.076133,48.958470
9.076143,48.958501
9.076170,48.958533
9.076224,48.958530
9.076277,48.958544
9.076326,48.958579
9.076336,48.958639
9.076288,48.958670
9.076240,48.958688
9.076224,48.958702
9.076240,48.958744
9.076272,48.958808
9.076304,48.958864
9.076320,48.958935
9.076336,48.958984
9.076363,48.959061
9.076401,48.959156
9.076422,48.959227
9.076454,48.959297
9.076481,48.959361
9.076508,48.959428
9.076524,48.959498
9.076562,48.959565
9.076589,48.959643
